classification,td_item,developer_discussion,developer_discussion_introduction,developer_discussion_only,discussion_period
Code-LQualCd,CAMEL-10048|0,1,0,1,0
Design-Des,CAMEL-10476|0,1,0,1,1
Design-Des,CAMEL-11196|0,1,1,0,0
Design-Des,CAMEL-11868|0,2,0,2,1
Code-LQualCd,CAMEL-1507|0,1,0,1,0
Code-DedCd,HADOOP-10485|0,2,1,1,0
Code-SlAlg,HADOOP-10681|0,1,0,1,1
Code-LQualCd,HADOOP-11013|0,1,1,0,1
Code-LQualCd,HADOOP-11117|0,2,0,2,1
Code-LQualCd,HADOOP-11379|0,1,0,1,0
Code-LQualCd,HADOOP-11421|0,2,0,2,0
Design-Des,HADOOP-11523|0,2,1,1,0
Code-LQualCd,HADOOP-11544|0,1,0,1,0
Code-LQualCd,HADOOP-11607|0,2,0,2,1
Test-LCvg,HADOOP-11730|0,2,0,2,35
Code-LQualCd,HADOOP-12135|0,2,1,1,9
Code-LQualCd,HADOOP-12829|0,2,0,2,2
Code-LQualCd,HADOOP-12888|0,2,0,2,8
Design-Des,HBASE-11511|0,1,0,1,0
Code-SlAlg,HBASE-11621|0,1,0,1,1
Design-Des,HBASE-12238|0,1,1,0,0
Design-Des,HBASE-12464|0,2,1,1,6
Code-LQualCd,HBASE-12833|0,1,0,1,5
Code-DedCd,HBASE-13395|0,2,0,2,595
Code-LQualCd,HBASE-14494|0,1,0,1,1
Test-FlakyTst,HBASE-15192|0,1,0,1,2
Design-Des,HBASE-15640|0,1,1,0,0
Design-Des,HBASE-15835|0,1,0,1,1
Design-Des,HBASE-17338|0,2,0,2,67
Code-DedCd,HBASE-17480|0,2,0,2,2
Code-LQualCd,HBASE-18180|0,2,0,2,5
Code-LQualCd,HBASE-19241|0,2,1,1,1
Design-Des,IMPALA-1691|0,3,1,2,12
Code-SlAlg,IMPALA-3103|0,2,1,1,0
Design-Des,IMPALA-3652|0,2,0,2,794
Test-LacTst,THRIFT-1103|0,1,0,1,0
Architecture-ObsTech,THRIFT-1217|0,2,0,2,1
Design-Des,THRIFT-1243|1,2,0,2,5
Code-LQualCd,THRIFT-1290|0,2,0,2,0
Test-LacTst,THRIFT-1810|0,1,0,1,388
Code-LQualCd,THRIFT-2328|1,2,1,1,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
